X,Y,error_X,error_Y
0,0.065605854,0.0096,0.000809949
0.087272727,0.059126264,0.008727273,0.000809949
0.16,0.051836724,0.008,0.000809949
0.221538462,0.048596929,0.007384615,0.000809949
0.274285714,0.046977032,0.006857143,0.000809949
0.32,0.045357134,0.0064,0.000809949
0.36,0.042927287,0.006,0.000809949
0.395294118,0.040497441,0.005647059,0.000809949
0.426666667,0.04130739,0.005333333,0.000809949
0.454736842,0.04130739,0.005052632,0.000809949
0.48,0.04130739,0.0048,0.000809949
1,0.032397953,0.01,0.000809949
0.872727273,0.033207902,0.008727273,0.000809949
0.8,0.034827799,0.008,0.000809949
0.738461538,0.036447697,0.007384615,0.000809949
0.685714286,0.037257646,0.006857143,0.000809949
0.64,0.042117339,0.0064,0.000809949
0.6,0.042927287,0.006,0.000809949
0.564705882,0.039687492,0.005647059,0.000809949
0.533333333,0.040497441,0.005333333,0.000809949
0.505263158,0.04130739,0.005052632,0.000809949
0.48,0.042117339,0.0048,0.000809949
