run,module,ccd,event_id,time,x,y,energy_keV,temperature_K,baseline,saturated,pedestal,gain,energy_cal_keV,e_z,pass_window
1002,M01,EXT4,0,2025-03-01 12:33:02,420,3281,4.396355165437601,119.98786582113297,52.14441439882516,False,98.6,0.98,4.763692801020363,-0.9189343142440113,True
1004,M01,EXT3,1,2025-03-01 18:02:51,937,3979,4.707644414944745,117.90702387996845,50.78041711182962,False,98.7,0.98,5.0831034389499195,-0.44898077576523754,True
1004,M06,EXT4,2,2025-03-02 06:16:47,1641,2135,5.171166865081394,120.36234853020282,50.260325818626384,False,98.7,1.02,5.768674879033032,0.2239038993153905,False
1001,M04,EXT3,3,2025-03-02 23:42:26,1221,1257,5.389815441239375,119.8333527487345,50.43843667859392,False,98.55,1.004,5.894414798751249,0.5336093850351097,False
1004,M01,EXT4,4,2025-03-01 19:57:55,279,282,6.199823864721204,120.3818076607925,49.636054604887576,False,98.7,0.98,6.5566540522988825,1.6931434753828025,False
1004,M06,EXT4,5,2025-03-02 09:09:24,1085,3871,4.991207253210481,119.9351572956514,47.535041384573205,False,98.7,1.02,5.612913976152044,0.010396872292325212,False
1003,M05,EXT1,6,2025-03-01 08:57:27,905,804,5.048033450742807,119.83870844666859,51.107579557134954,False,98.65,1.012,5.589739147033515,0.07527090247352605,False
1004,M04,EXT3,7,2025-03-01 11:32:34,1076,3184,5.318513331750758,118.76347709757164,50.51236532842124,False,98.7,1.004,5.823591237180412,0.44014049999279836,False
1003,M02,EXT3,8,2025-03-01 15:55:22,1977,3587,4.780433628081608,120.43123525866551,51.15014197338282,False,98.65,0.988,5.192367021847607,-0.3463713069756217,True
1004,M05,EXT1,9,2025-03-01 02:56:11,731,2917,5.269112747044737,120.00312211017345,50.063811100917405,False,98.7,1.012,5.82454033166799,0.40829743975555016,False
1001,M05,EXT1,10,2025-03-01 21:26:06,1274,1559,4.727911806885632,119.71687306509723,47.45904205838142,False,98.55,1.012,5.301687242937439,-0.3424789374430566,True
1000,M01,EXT4,11,2025-03-02 08:30:56,833,179,5.063858005663503,120.22610812106211,49.18161865803426,False,98.5,0.98,5.445900982701497,0.16508259454238627,True
1002,M05,EXT1,12,2025-03-01 04:29:29,1946,1212,5.881475358701474,119.99825784270452,51.61183286067964,False,98.6,1.012,6.427573314455813,1.2538916507674855,False
